test_time,database,db_type,query_id,query_time
2018-12-04-05:38:59,tpch_3g,redshift,5,5.441
2018-12-04-05:38:59,tpch_3g,redshift,6,1.176
2018-12-04-05:38:59,tpch_3g,redshift,7,3.877
2018-12-04-05:38:59,tpch_3g,redshift,8,3.373
2018-12-04-05:38:59,tpch_3g,redshift,9,5.123
2018-12-04-05:38:59,tpch_3g,redshift,10,2.298
2018-12-04-05:38:59,tpch_3g,redshift,11,4.343
2018-12-04-05:38:59,tpch_3g,redshift,12,3.697
2018-12-04-05:38:59,tpch_3g,redshift,13,3.074
2018-12-04-05:38:59,tpch_3g,redshift,14,1.083
2018-12-04-05:38:59,tpch_3g,redshift,15,7.268
2018-12-04-05:38:59,tpch_3g,redshift,16,2.762
2018-12-04-05:38:59,tpch_3g,redshift,17,1.585
2018-12-04-05:38:59,tpch_3g,redshift,18,9.735
2018-12-04-05:38:59,tpch_3g,redshift,19,3.998
2018-12-04-05:38:59,tpch_3g,redshift,20,7.807
2018-12-04-05:38:59,tpch_3g,redshift,21,10.977
2018-12-04-05:38:59,tpch_3g,redshift,22,0.720
2018-12-04-05:41:05,tpch_3g,redshift,1,5.410
2018-12-04-05:41:05,tpch_3g,redshift,2,0.507
2018-12-04-05:41:05,tpch_3g,redshift,3,2.166
2018-12-04-05:41:05,tpch_3g,redshift,4,3.862
2018-12-04-05:41:05,tpch_3g,redshift,5,1.448
2018-12-04-05:41:05,tpch_3g,redshift,6,1.228
2018-12-04-05:41:05,tpch_3g,redshift,7,1.955
2018-12-04-05:41:05,tpch_3g,redshift,8,1.386
2018-12-04-05:41:05,tpch_3g,redshift,9,3.001
2018-12-04-05:41:05,tpch_3g,redshift,10,2.290
2018-12-04-05:41:05,tpch_3g,redshift,11,0.349
2018-12-04-05:41:05,tpch_3g,redshift,12,1.481
2018-12-04-05:41:05,tpch_3g,redshift,13,2.921
2018-12-04-05:41:05,tpch_3g,redshift,14,1.072
2018-12-04-05:41:05,tpch_3g,redshift,15,1.297
2018-12-04-05:41:05,tpch_3g,redshift,16,0.808
2018-12-04-05:41:05,tpch_3g,redshift,17,1.597
2018-12-04-05:41:05,tpch_3g,redshift,18,5.711
2018-12-04-05:41:05,tpch_3g,redshift,19,1.722
2018-12-04-05:41:05,tpch_3g,redshift,20,1.574
2018-12-04-05:41:05,tpch_3g,redshift,21,4.974
2018-12-04-05:41:05,tpch_3g,redshift,22,0.731
2018-12-04-05:42:03,tpch_3g,redshift,1,5.438
2018-12-04-05:42:03,tpch_3g,redshift,2,0.504
2018-12-04-05:42:03,tpch_3g,redshift,3,2.114
2018-12-04-05:42:03,tpch_3g,redshift,4,3.879
2018-12-04-05:42:03,tpch_3g,redshift,5,1.446
2018-12-04-05:42:03,tpch_3g,redshift,6,1.165
2018-12-04-05:42:03,tpch_3g,redshift,7,1.980
2018-12-04-05:42:03,tpch_3g,redshift,8,1.570
2018-12-04-05:42:03,tpch_3g,redshift,9,3.080
2018-12-04-05:42:03,tpch_3g,redshift,10,2.342
2018-12-04-05:42:03,tpch_3g,redshift,11,0.344
2018-12-04-05:42:03,tpch_3g,redshift,12,1.480
2018-12-04-05:42:03,tpch_3g,redshift,13,2.934
2018-12-04-05:42:03,tpch_3g,redshift,14,1.073
2018-12-04-05:42:03,tpch_3g,redshift,15,1.234
2018-12-04-05:42:03,tpch_3g,redshift,16,0.825
2018-12-04-05:42:03,tpch_3g,redshift,17,1.687
2018-12-04-05:42:03,tpch_3g,redshift,18,5.689
2018-12-04-05:42:03,tpch_3g,redshift,19,1.734
2018-12-04-05:42:03,tpch_3g,redshift,20,1.549
2018-12-04-05:42:03,tpch_3g,redshift,21,5.030
2018-12-04-05:42:03,tpch_3g,redshift,22,0.727
2018-12-04-05:42:56,tpch_3g,redshift,1,5.363
2018-12-04-05:42:56,tpch_3g,redshift,2,0.500
2018-12-04-05:42:56,tpch_3g,redshift,3,2.122
2018-12-04-05:42:56,tpch_3g,redshift,4,3.663
2018-12-04-05:42:56,tpch_3g,redshift,5,1.499
2018-12-04-05:42:56,tpch_3g,redshift,6,1.170
2018-12-04-05:42:56,tpch_3g,redshift,7,1.971
2018-12-04-05:42:56,tpch_3g,redshift,8,1.476
2018-12-04-05:42:56,tpch_3g,redshift,9,3.002
2018-12-04-05:42:56,tpch_3g,redshift,10,2.403
2018-12-04-05:42:56,tpch_3g,redshift,11,0.347
2018-12-04-05:42:56,tpch_3g,redshift,12,1.486
2018-12-04-05:42:56,tpch_3g,redshift,13,2.944
2018-12-04-05:42:56,tpch_3g,redshift,14,1.069
2018-12-04-05:42:56,tpch_3g,redshift,15,1.245
2018-12-04-05:42:56,tpch_3g,redshift,16,0.813
2018-12-04-05:42:56,tpch_3g,redshift,17,1.587
2018-12-04-05:42:56,tpch_3g,redshift,18,5.621
2018-12-04-05:42:56,tpch_3g,redshift,19,1.787
2018-12-04-05:42:56,tpch_3g,redshift,20,1.569
2018-12-04-05:42:56,tpch_3g,redshift,21,4.958
2018-12-04-05:42:56,tpch_3g,redshift,22,0.711
2018-12-04-05:44:48,tpch_10g,redshift,1,17.957
2018-12-04-05:44:48,tpch_10g,redshift,2,5.581
2018-12-04-05:44:48,tpch_10g,redshift,3,7.007
2018-12-04-05:44:48,tpch_10g,redshift,4,13.880
2018-12-04-05:44:48,tpch_10g,redshift,5,5.111
2018-12-04-05:44:48,tpch_10g,redshift,6,3.788
2018-12-04-05:44:48,tpch_10g,redshift,7,6.776
2018-12-04-05:44:48,tpch_10g,redshift,8,13.496
2018-12-04-05:44:48,tpch_10g,redshift,9,12.712
2018-12-04-05:44:48,tpch_10g,redshift,10,7.879
2018-12-04-05:44:48,tpch_10g,redshift,11,4.949
2018-12-04-05:44:48,tpch_10g,redshift,12,4.882
2018-12-04-05:44:48,tpch_10g,redshift,13,10.648
2018-12-04-05:44:48,tpch_10g,redshift,14,3.592
2018-12-04-05:44:48,tpch_10g,redshift,15,4.250
2018-12-04-05:44:48,tpch_10g,redshift,16,4.616
2018-12-04-05:44:48,tpch_10g,redshift,17,13.094
2018-12-04-05:44:48,tpch_10g,redshift,18,18.456
2018-12-04-05:44:48,tpch_10g,redshift,19,7.879
2018-12-04-05:44:48,tpch_10g,redshift,20,11.475
2018-12-04-05:44:48,tpch_10g,redshift,21,19.583
2018-12-04-05:44:48,tpch_10g,redshift,22,2.487
2018-12-04-05:48:42,tpch_10g,redshift,1,17.972
2018-12-04-05:48:42,tpch_10g,redshift,2,1.587
2018-12-04-05:48:42,tpch_10g,redshift,3,6.896
2018-12-04-05:48:42,tpch_10g,redshift,4,13.850
2018-12-04-05:48:42,tpch_10g,redshift,5,5.024
2018-12-04-05:48:42,tpch_10g,redshift,6,3.793
2018-12-04-05:48:42,tpch_10g,redshift,7,6.789
2018-12-04-05:48:42,tpch_10g,redshift,8,5.574
2018-12-04-05:48:42,tpch_10g,redshift,9,10.902
2018-12-04-05:48:42,tpch_10g,redshift,10,7.888
2018-12-04-05:48:42,tpch_10g,redshift,11,1.023
2018-12-04-05:48:42,tpch_10g,redshift,12,4.848
2018-12-04-05:48:42,tpch_10g,redshift,13,10.611
2018-12-04-05:48:42,tpch_10g,redshift,14,3.537
2018-12-04-05:48:42,tpch_10g,redshift,15,4.179
2018-12-04-05:48:42,tpch_10g,redshift,16,2.596
2018-12-04-05:48:42,tpch_10g,redshift,17,5.205
2018-12-04-05:48:42,tpch_10g,redshift,18,18.726
2018-12-04-05:48:42,tpch_10g,redshift,19,5.613
2018-12-04-05:48:42,tpch_10g,redshift,20,5.335
2018-12-04-05:48:42,tpch_10g,redshift,21,17.569
2018-12-04-05:48:42,tpch_10g,redshift,22,2.520
2018-12-04-05:52:56,tpch_30g,redshift,1,53.897
2018-12-04-05:52:56,tpch_30g,redshift,2,13.133
2018-12-04-05:52:56,tpch_30g,redshift,3,21.105
2018-12-04-05:52:56,tpch_30g,redshift,4,49.542
2018-12-04-05:52:56,tpch_30g,redshift,5,16.747
2018-12-04-05:52:56,tpch_30g,redshift,6,11.611
2018-12-04-05:52:56,tpch_30g,redshift,7,21.976
2018-12-04-05:52:56,tpch_30g,redshift,8,18.041
2018-12-04-05:52:56,tpch_30g,redshift,9,37.359
2018-12-04-05:52:56,tpch_30g,redshift,10,23.401
2018-12-04-05:52:56,tpch_30g,redshift,11,7.577
2018-12-04-05:52:56,tpch_30g,redshift,12,14.894
2018-12-04-05:52:56,tpch_30g,redshift,13,40.245
2018-12-04-05:52:56,tpch_30g,redshift,14,10.731
2018-12-04-05:52:56,tpch_30g,redshift,15,13.577
2018-12-04-05:52:56,tpch_30g,redshift,16,7.408
2018-12-04-05:52:56,tpch_30g,redshift,17,17.194
2018-12-04-05:52:56,tpch_30g,redshift,18,81.892
2018-12-04-05:52:56,tpch_30g,redshift,19,20.651
2018-12-04-05:52:56,tpch_30g,redshift,20,19.069
