instance,database,test_time,db_name,batch_id,query_id,query_time
dc2.large,redshift,2018-12-06-05:36:56,tpch_1g,2,8,0.013
dc2.large,redshift,2018-12-06-05:36:56,tpch_1g,2,9,0.013
dc2.large,redshift,2018-12-06-05:36:56,tpch_1g,2,10,0.013
dc2.large,redshift,2018-12-06-05:36:56,tpch_1g,2,11,0.012
dc2.large,redshift,2018-12-06-05:36:56,tpch_1g,2,12,0.012
dc2.large,redshift,2018-12-06-05:36:56,tpch_1g,2,13,0.012
dc2.large,redshift,2018-12-06-05:36:56,tpch_1g,2,14,0.012
dc2.large,redshift,2018-12-06-05:36:56,tpch_1g,2,15,0.480
dc2.large,redshift,2018-12-06-05:36:56,tpch_1g,2,16,0.014
dc2.large,redshift,2018-12-06-05:36:56,tpch_1g,2,17,0.014
dc2.large,redshift,2018-12-06-05:36:56,tpch_1g,2,18,0.013
dc2.large,redshift,2018-12-06-05:36:56,tpch_1g,2,19,0.016
dc2.large,redshift,2018-12-06-05:36:56,tpch_1g,2,20,0.014
dc2.large,redshift,2018-12-06-05:36:56,tpch_1g,2,21,0.013
dc2.large,redshift,2018-12-06-05:36:56,tpch_1g,2,22,0.012
dc2.large,redshift,2018-12-06-05:36:59,tpch_1g,3,1,2.053
dc2.large,redshift,2018-12-06-05:36:59,tpch_1g,3,2,7.043
dc2.large,redshift,2018-12-06-05:36:59,tpch_1g,3,3,0.728
dc2.large,redshift,2018-12-06-05:36:59,tpch_1g,3,4,1.245
dc2.large,redshift,2018-12-06-05:36:59,tpch_1g,3,5,2.514
dc2.large,redshift,2018-12-06-05:36:59,tpch_1g,3,6,2.693
dc2.large,redshift,2018-12-06-05:36:59,tpch_1g,3,7,2.715
dc2.large,redshift,2018-12-06-05:36:59,tpch_1g,3,8,0.521
dc2.large,redshift,2018-12-06-05:36:59,tpch_1g,3,9,0.906
dc2.large,redshift,2018-12-06-05:36:59,tpch_1g,3,10,0.799
dc2.large,redshift,2018-12-06-05:36:59,tpch_1g,3,11,0.167
dc2.large,redshift,2018-12-06-05:36:59,tpch_1g,3,12,0.529
dc2.large,redshift,2018-12-06-05:36:59,tpch_1g,3,13,0.014
dc2.large,redshift,2018-12-06-05:36:59,tpch_1g,3,14,0.365
dc2.large,redshift,2018-12-06-05:36:59,tpch_1g,3,15,0.986
dc2.large,redshift,2018-12-06-05:36:59,tpch_1g,3,16,0.594
dc2.large,redshift,2018-12-06-05:36:59,tpch_1g,3,17,3.396
dc2.large,redshift,2018-12-06-05:36:59,tpch_1g,3,18,0.269
dc2.large,redshift,2018-12-06-05:36:59,tpch_1g,3,19,0.881
dc2.large,redshift,2018-12-06-05:36:59,tpch_1g,3,20,3.464
dc2.large,redshift,2018-12-06-05:36:59,tpch_1g,3,21,3.773
dc2.large,redshift,2018-12-06-05:36:59,tpch_1g,3,22,0.291
dc2.large,redshift,2018-12-06-05:38:13,tpch_3g,1,1,5.467
dc2.large,redshift,2018-12-06-05:38:13,tpch_3g,1,2,4.586
dc2.large,redshift,2018-12-06-05:38:13,tpch_3g,1,3,2.160
dc2.large,redshift,2018-12-06-05:38:13,tpch_3g,1,4,3.786
dc2.large,redshift,2018-12-06-05:38:13,tpch_3g,1,5,5.632
dc2.large,redshift,2018-12-06-05:38:13,tpch_3g,1,6,1.171
