instance,database,test_time,db_name,batch_id,query_id,query_time
db.r4.large,aurora,2018-12-10-08:45:18,tpch_1g,1,1,14.916
db.r4.large,aurora,2018-12-10-08:45:18,tpch_1g,1,2,0.308
db.r4.large,aurora,2018-12-10-08:45:18,tpch_1g,1,3,1.733
db.r4.large,aurora,2018-12-10-08:45:18,tpch_1g,1,4,0.552
db.r4.large,aurora,2018-12-10-08:45:18,tpch_1g,1,5,1.518
db.r4.large,aurora,2018-12-10-08:45:18,tpch_1g,1,6,2.085
db.r4.large,aurora,2018-12-10-08:45:18,tpch_1g,1,7,0.985
db.r4.large,aurora,2018-12-10-08:45:18,tpch_1g,1,8,0.424
db.r4.large,aurora,2018-12-10-08:45:18,tpch_1g,1,9,2.927
db.r4.large,aurora,2018-12-10-08:45:18,tpch_1g,1,10,1.233
db.r4.large,aurora,2018-12-10-08:45:18,tpch_1g,1,11,0.440
db.r4.large,aurora,2018-12-10-08:45:18,tpch_1g,1,12,2.606
db.r4.large,aurora,2018-12-10-08:45:18,tpch_1g,1,13,4.791
db.r4.large,aurora,2018-12-10-08:45:18,tpch_1g,1,14,1.009
db.r4.large,aurora,2018-12-10-08:45:18,tpch_1g,1,15,2.583
db.r4.large,aurora,2018-12-10-08:45:18,tpch_1g,1,16,0.300
db.r4.large,aurora,2018-12-10-08:45:18,tpch_1g,1,17,0.535
db.r4.large,aurora,2018-12-10-08:45:18,tpch_1g,1,18,3.054
db.r4.large,aurora,2018-12-10-08:45:18,tpch_1g,1,19,0.192
db.r4.large,aurora,2018-12-10-08:45:18,tpch_1g,1,20,21.710
db.r4.large,aurora,2018-12-10-08:45:18,tpch_1g,1,21,17.478
db.r4.large,aurora,2018-12-10-08:45:18,tpch_1g,1,22,0.262
db.r4.large,aurora,2018-12-10-08:46:40,tpch_1g,2,1,14.965
db.r4.large,aurora,2018-12-10-08:46:40,tpch_1g,2,2,0.189
db.r4.large,aurora,2018-12-10-08:46:40,tpch_1g,2,3,1.727
db.r4.large,aurora,2018-12-10-08:46:40,tpch_1g,2,4,0.486
db.r4.large,aurora,2018-12-10-08:46:40,tpch_1g,2,5,1.563
db.r4.large,aurora,2018-12-10-08:46:40,tpch_1g,2,6,2.339
db.r4.large,aurora,2018-12-10-08:46:40,tpch_1g,2,7,1.078
db.r4.large,aurora,2018-12-10-08:46:40,tpch_1g,2,8,0.425
db.r4.large,aurora,2018-12-10-08:46:40,tpch_1g,2,9,2.894
db.r4.large,aurora,2018-12-10-08:46:40,tpch_1g,2,10,1.188
db.r4.large,aurora,2018-12-10-08:46:40,tpch_1g,2,11,0.361
db.r4.large,aurora,2018-12-10-08:46:40,tpch_1g,2,12,2.532
db.r4.large,aurora,2018-12-10-08:46:40,tpch_1g,2,13,4.800
db.r4.large,aurora,2018-12-10-08:46:40,tpch_1g,2,14,0.830
db.r4.large,aurora,2018-12-10-08:46:40,tpch_1g,2,15,1.952
