test_time,database,db_type,query_id,query_time
2018-11-29-13:48:49,tpch_1g,mysql,4,1.056
2018-11-29-13:48:49,tpch_1g,mysql,5,36.735
2018-11-29-13:48:49,tpch_1g,mysql,6,2.359
2018-11-29-13:48:49,tpch_1g,mysql,7,11.877
2018-11-29-13:48:49,tpch_1g,mysql,8,0.584
2018-11-29-13:48:49,tpch_1g,mysql,9,9.784
2018-11-29-13:48:49,tpch_1g,mysql,10,6.229
2018-11-29-13:48:49,tpch_1g,mysql,11,0.235
2018-11-29-13:48:49,tpch_1g,mysql,12,2.595
2018-11-29-13:48:49,tpch_1g,mysql,13,4.929
2018-11-29-13:48:49,tpch_1g,mysql,14,2.857
2018-11-29-13:48:49,tpch_1g,mysql,15,4.676
2018-11-29-13:48:49,tpch_1g,mysql,16,1.933
2018-11-29-13:48:49,tpch_1g,mysql,17,0.727
2018-11-29-13:48:49,tpch_1g,mysql,18,45.282
2018-11-29-13:48:49,tpch_1g,mysql,19,0.141
2018-11-29-13:48:49,tpch_1g,mysql,20,0.958
2018-11-29-13:48:49,tpch_1g,mysql,21,59.721
2018-11-29-13:48:49,tpch_1g,mysql,22,0.162
