instance,database,test_time,db_name,batch_id,query_id,query_time
local,postgresql,2018-12-06-10:35:49,tpch_1g,1,17,2.384
local,postgresql,2018-12-06-10:35:49,tpch_1g,1,18,3.614
local,postgresql,2018-12-06-10:35:49,tpch_1g,1,19,0.073
local,postgresql,2018-12-06-10:35:49,tpch_1g,1,20,2.755
local,postgresql,2018-12-06-10:35:49,tpch_1g,1,21,0.977
local,postgresql,2018-12-06-10:35:49,tpch_1g,1,22,0.218
local,postgresql,2018-12-06-10:36:34,tpch_1g,2,1,2.775
local,postgresql,2018-12-06-10:36:34,tpch_1g,2,2,0.469
local,postgresql,2018-12-06-10:36:34,tpch_1g,2,3,0.549
local,postgresql,2018-12-06-10:36:34,tpch_1g,2,4,0.263
local,postgresql,2018-12-06-10:36:34,tpch_1g,2,5,0.589
local,postgresql,2018-12-06-10:36:34,tpch_1g,2,6,0.533
local,postgresql,2018-12-06-10:36:34,tpch_1g,2,7,0.674
local,postgresql,2018-12-06-10:36:34,tpch_1g,2,8,0.820
local,postgresql,2018-12-06-10:36:34,tpch_1g,2,9,2.026
local,postgresql,2018-12-06-10:36:34,tpch_1g,2,10,0.647
local,postgresql,2018-12-06-10:36:34,tpch_1g,2,11,0.172
local,postgresql,2018-12-06-10:36:34,tpch_1g,2,12,0.678
local,postgresql,2018-12-06-10:36:34,tpch_1g,2,13,2.028
local,postgresql,2018-12-06-10:36:34,tpch_1g,2,14,0.429
local,postgresql,2018-12-06-10:36:34,tpch_1g,2,15,1.646
local,postgresql,2018-12-06-10:36:34,tpch_1g,2,16,0.864
local,postgresql,2018-12-06-10:36:34,tpch_1g,2,17,2.505
local,postgresql,2018-12-06-10:36:34,tpch_1g,2,18,3.631
local,postgresql,2018-12-06-10:36:34,tpch_1g,2,19,0.068
local,postgresql,2018-12-06-10:36:34,tpch_1g,2,20,2.642
local,postgresql,2018-12-06-10:36:34,tpch_1g,2,21,0.973
local,postgresql,2018-12-06-10:36:34,tpch_1g,2,22,0.220
local,postgresql,2018-12-06-11:05:41,tpch_1g,1,1,2.922
local,postgresql,2018-12-06-11:05:41,tpch_1g,1,2,0.455
local,postgresql,2018-12-06-11:05:41,tpch_1g,1,3,0.539
local,postgresql,2018-12-06-11:05:41,tpch_1g,1,4,0.257
local,postgresql,2018-12-06-11:05:41,tpch_1g,1,5,0.584
local,postgresql,2018-12-06-11:05:41,tpch_1g,1,6,0.804
local,postgresql,2018-12-06-11:05:41,tpch_1g,1,7,0.646
local,postgresql,2018-12-06-11:05:41,tpch_1g,1,8,0.812
local,postgresql,2018-12-06-11:05:41,tpch_1g,1,9,2.013
local,postgresql,2018-12-06-11:05:41,tpch_1g,1,10,0.622
local,postgresql,2018-12-06-11:05:41,tpch_1g,1,11,0.181
local,postgresql,2018-12-06-11:05:41,tpch_1g,1,12,0.649
local,postgresql,2018-12-06-11:05:41,tpch_1g,1,13,1.969
local,postgresql,2018-12-06-11:05:41,tpch_1g,1,14,0.421
local,postgresql,2018-12-06-11:05:41,tpch_1g,1,15,1.573
local,postgresql,2018-12-06-11:05:41,tpch_1g,1,16,0.830
local,postgresql,2018-12-06-11:05:41,tpch_1g,1,17,2.315
local,postgresql,2018-12-06-11:05:41,tpch_1g,1,18,3.529
local,postgresql,2018-12-06-11:05:41,tpch_1g,1,19,0.067
local,postgresql,2018-12-06-11:05:41,tpch_1g,1,20,2.521
local,postgresql,2018-12-06-11:05:41,tpch_1g,1,21,0.943
local,postgresql,2018-12-06-11:05:41,tpch_1g,1,22,0.217
local,postgresql,2018-12-06-11:06:29,tpch_3g,1,1,34.686
local,postgresql,2018-12-06-11:06:29,tpch_3g,1,2,67.668
local,postgresql,2018-12-06-11:08:46,tpch_3g,1,1,8.352
local,postgresql,2018-12-06-11:08:46,tpch_3g,1,2,2.241
local,postgresql,2018-12-06-11:08:46,tpch_3g,1,3,5.335
local,postgresql,2018-12-06-11:08:46,tpch_3g,1,4,0.782
local,postgresql,2018-12-06-11:08:46,tpch_3g,1,5,2.703
local,postgresql,2018-12-06-11:08:46,tpch_3g,1,6,1.721
local,postgresql,2018-12-06-11:08:46,tpch_3g,1,7,2.065
local,postgresql,2018-12-06-11:08:46,tpch_3g,1,8,2.679
local,postgresql,2018-12-06-11:08:46,tpch_3g,1,9,8.689
local,postgresql,2018-12-06-11:08:46,tpch_3g,1,10,2.645
local,postgresql,2018-12-06-11:08:46,tpch_3g,1,11,0.927
local,postgresql,2018-12-06-11:08:46,tpch_3g,1,12,1.906
